Word	Havg	StDev	FreqList	translation
الجنة	1	8.50	1.0926	2807	Paradise
سعادة	2	8.38	0.9010	4727	HE
الله	3	8.38	1.2271	305	God
السعادة	4	8.24	1.1704	2284	Happiness
الحب	5	8.18	1.0039	401	Love
الضحك	6	8.14	1.1068	5821	Laughter
حبيبى	7	8.10	1.0926	3344	Habibi
ضحك	8	8.10	0.9742	5637	Laughter
لله	9	8.08	1.6517	1586	God
سعداء	10	8.08	1.0467	2713	Happy
سعيدا	11	8.06	1.1323	2438	Happy
احبك	12	8.06	1.0382	1587	I love you
ناجح	13	8.04	0.9681	8964	Successful
أضحك	14	8.04	1.0490	7880	Laugh
حبيبتى	15	8.04	0.9889	2086	Baby
أمي	16	8.04	1.3087	184	Mom
سرور	17	8.02	1.0200	6633	Pleasure
سعيده	18	8.02	1.0971	3310	Happy
المضحك	19	8.00	0.9476	4806	Funny
امي	20	8.00	1.2936	978	Lamy
الفوز	21	7.98	0.9792	2416	Win
حبيبتي	22	7.98	1.1337	680	Baby
الملائكة	23	7.98	1.0398	6516	Angels
يضحك	24	7.98	1.0784	6174	Laughs
مضحكة	25	7.98	1.1865	5009	Funny
نجحت	26	7.98	1.2534	2798	Succeeded
بسعادة	27	7.96	1.2447	9890	Happily
النجاح	28	7.96	1.1241	3551	Success
العيد	29	7.96	1.1945	7840	Eid
الزفاف	30	7.96	1.0872	2619	Wedding
سعيدة	31	7.94	1.0768	426	Happy
بالله	32	7.94	1.5440	1228	God
ماما	33	7.94	1.3001	1343	Mama
رائع	34	7.94	1.0956	129	Wonderful
والدتي	35	7.92	1.2428	3722	My mother
أمى	36	7.92	1.3827	931	Illiterate
نجاح	37	7.92	1.2911	6879	Success
سعيد	38	7.90	1.2495	289	Said
الأم	39	7.90	1.1473	1994	Mother
حبيب	40	7.90	1.0546	6787	Habib
تضحك	41	7.88	1.1542	4456	Laugh
حب	42	7.88	1.2720	1428	Love
المرح	43	7.88	0.9613	2000	Fun
مرح	44	7.88	1.1183	3169	Fun
نجحنا	45	7.86	1.0500	6073	Succeeded
مضحك	46	7.86	1.0882	867	Funny
ممتاز	47	7.84	1.3303	974	Excellent
أحبك	48	7.84	1.2835	478	I love you
مسرورة	49	7.84	1.0373	3874	Pleased
رائعة	50	7.82	1.0631	354	Great
مبروك	51	7.82	1.1008	3471	Congratulations
رائعا	52	7.80	1.0302	2287	Great
