Word	Havg	StDev	GoogleRank	translation
快乐	1	7.82	1.4803	3675	Happy
喜悦	2	7.56	1.3273	5828	Joy
幸福	3	7.54	1.5147	2025	Happiness
成功	4	7.48	1.3285	681	Success
可爱	5	7.46	1.1817	6537	Cute
漂亮	6	7.42	1.6424	3988	Beautiful
完美	7	7.40	1.7496	4804	Perfect
健康	8	7.40	1.4708	1219	Health
高兴	9	7.38	2.0887	2086	Happy
欣喜	10	7.34	1.4514	9700	Happy
精彩	11	7.32	1.4348	5606	Wonderful
优美	12	7.30	1.3286	4801	Beautiful
繁荣	13	7.28	1.5391	2134	Prosperity
冠军	14	7.24	1.5592	5058	Champion
优异	15	7.24	1.6728	6367	Merit
善良	16	7.24	1.2048	6256	Kind-hearted
欢乐	17	7.22	1.7990	4866	Joy
美好	18	7.22	1.6449	2953	Fine
祝贺	19	7.20	1.3553	5154	Congratulation
丰收	20	7.20	1.6782	6416	Bumper
愉快	21	7.20	1.7496	4382	Happy
赞扬	22	7.20	1.2454	4349	Praise
辉煌	23	7.18	1.5609	4355	Brilliant
赞美	24	7.18	1.4803	7473	Praise
爱	25	7.18	1.9345	2050	Love
优质	26	7.16	1.6581	2701	Quality
自豪	27	7.16	1.2182	5009	Pride
美	28	7.16	1.5566	568	U.S.
富强	29	7.16	1.5954	8021	Fortune
恋爱	30	7.14	1.7614	7077	Love
乐观	31	7.12	1.3037	3685	Optimism
光荣	32	7.12	1.7802	3074	Glory
诚实	33	7.12	1.4658	6320	Honesty
美妙	34	7.12	1.5338	7506	Wonderful
温暖	35	7.12	1.2879	5032	Warm
心爱	36	7.12	1.7802	9965	Beloved
喜	37	7.10	1.7642	6765	Happy
真诚	38	7.08	1.7243	4024	Sincere
幸运	39	7.08	1.5232	6343	Lucky
奇迹	40	7.08	1.7594	5119	Miracle
灿烂	41	7.08	1.4686	4838	Brilliant
光辉	42	7.06	1.4057	3484	Radiance
享受	43	7.06	1.3614	1874	Enjoy
奖励	44	7.06	1.4902	2185	Reward
笑	45	7.06	1.8780	3016	Laugh
诚信	46	7.06	1.7544	8901	Integrity
新娘	47	7.04	1.8731	7860	Bride
突飞猛进	48	7.04	1.6777	9161	Leaps and bounds
优秀	49	7.04	2.0199	1439	Excellent
笑容	50	7.04	1.7492	5745	Smile
妈妈	51	7.02	1.7899	2205	Mom
优	52	7.02	1.7319	2181	Excellent
喜欢	53	7.02	1.5583	1612	Like
庆祝	54	7.00	1.5649	3531	Celebrate
壮丽	55	7.00	1.8070	8415	Magnificent
表扬	56	7.00	1.8070	7417	Praise
繁华	57	7.00	1.3248	9341	Bustling
高贵	58	7.00	1.4983	8255	Noble
亲切	59	7.00	1.4569	3404	Cordial
卓越	60	6.98	1.4637	4541	Excellent
诚挚	61	6.98	1.4913	9812	Sincere
母亲	62	6.96	1.6898	1321	Mother
优胜	63	6.96	1.6777	8928	Winning
满意	64	6.96	1.7019	2083	Satisfaction
天才	65	6.94	1.8003	4456	Genius
欢呼	66	6.94	1.3763	8459	Cheer
微笑	67	6.94	1.5174	5057	Smile
童话	68	6.94	1.3001	8947	Fairy tale
丰厚	69	6.94	1.3614	7073	Rich
聪明	70	6.94	1.2022	3608	Clever
壮观	71	6.94	1.0956	7509	Spectacular
喜爱	72	6.94	1.4344	4685	Favorite
兴旺	73	6.92	1.7939	5398	Thrive
美丽	74	6.92	1.6762	2992	Beautiful
感激	75	6.92	1.1036	5958	Grateful
大好	76	6.90	1.3286	5702	Excellent
奉献	77	6.90	1.3439	5041	Dedicate
富	78	6.90	1.9299	2333	Rich
亲爱	79	6.90	1.7291	8489	Dear
哈哈	80	6.88	1.6860	7484	Haha
胜	81	6.88	1.7100	3434	Victory
富有	82	6.88	1.7337	3220	Wealthy
富余	83	6.88	1.4797	7767	Surplus
感谢	84	6.88	1.5070	3071	Thank
出色	85	6.88	1.4797	4040	Outstanding
亲密	86	6.88	1.4797	5728	Close
荣誉	87	6.88	1.5070	4086	Honor
创新	88	6.88	1.0999	1118	Innovation
乐趣	89	6.86	1.3999	7434	Pleasure
好事	90	6.86	1.5651	4915	Good deed
了不起	91	6.86	1.7144	5338	Amazing
胜利	92	6.86	2.0505	731	Victory
花朵	93	6.86	1.4287	8014	Flowers
礼貌	94	6.86	1.3403	8713	Courtesy
称赞	95	6.86	1.4144	7947	Praise
信任	96	6.86	1.5254	2732	Trust
融洽	97	6.86	1.3852	9937	Harmony
赞赏	98	6.86	1.4570	5301	Praise
可喜	99	6.86	1.5520	6456	Gratifying
奖	100	6.86	1.8407	2412	Award
廉洁	101	6.86	1.5651	7431	Probity
勤奋	102	6.84	1.2513	7961	Diligent
鼓励	103	6.84	1.1132	1238	Encourage
激励	104	6.84	1.3607	2675	Excitation
热情	105	6.84	1.6581	2057	Enthusiasm
浪漫	106	6.84	1.6081	3399	Romantic
亲人	107	6.84	1.7538	4862	Relatives
真挚	108	6.84	1.4194	8979	Sincere
红利	109	6.84	1.2014	7742	Bonus
高尚	110	6.84	1.6458	4578	Noble
乐	111	6.84	1.5954	3146	Music
杰出	112	6.84	1.5434	3119	Eminent
杰作	113	6.82	1.4097	8587	Masterpiece
好评	114	6.82	1.4241	5204	Favorable comment
慈善	115	6.82	1.2887	6484	Charitable
强盛	116	6.82	1.3354	8432	Powerful and prosperous
舒适	117	6.82	1.2403	7447	Cozy
宝贝	118	6.82	1.7577	8274	Baby
忠诚	119	6.82	1.9026	4999	Loyalty
