Word	HappRank	Havg	StDev	Gweb_Rank	TwitterRank	Gbook_Rank	translation
bonheur	1	8.38	0.9234	2033	853	1079	happiness
heureux	2	8.34	0.7982	3211	1358	1121	happy
amour	3	8.34	0.8947	654	842	409	love
amoureux	4	8.30	0.9091	4075	1505	5241	lover
vacances	5	8.16	0.8657	440	371	--	holiday
aimer	6	8.14	1.0304	4580	1185	2875	love
soleil	7	8.12	1.1364	1130	989	938	sun
magnifiques	8	8.12	0.9613	--	4617	--	beautiful
l'amour	9	8.08	1.0467	--	654	--	love
joyeux	10	8.06	1.0184	--	277	--	happy
paix	11	8.06	1.0956	2318	2158	436	Peace
love	12	8.06	1.0768	1582	93	--	love
amoureuse	13	8.04	1.0294	--	1908	--	in love
heureuse	14	8.04	1.0294	--	1706	2552	happy
excellente	15	8.04	1.0490	4817	2897	4877	excellent
rire	16	8.02	0.9998	3255	386	2963	laugh
merveilleux	17	8.00	1.1249	--	2724	4566	wonderful
amours	18	7.98	1.0971	--	4514	--	love
magnifique	19	7.96	1.0093	2635	543	3620	wonderful
humour	20	7.96	0.9467	1200	3793	--	humor
plaisir	21	7.96	0.9467	1144	484	981	pleasure
bisous	22	7.94	1.1678	2752	406	--	kisses
félicitations	23	7.92	1.0660	--	3499	--	congratulations
happiness	24	7.90	1.2976	--	4360	--	happiness
joie	25	7.90	1.2330	4470	1744	1472	joy
paradis	26	7.90	1.2657	4311	3287	5119	paradise
j'adore	27	7.90	1.0738	--	432	--	I love
sublime	28	7.88	0.9179	--	3714	4111	sublime
t'aime	29	7.86	1.2124	--	308	--	love you
happy	30	7.86	1.0104	--	212	--	happy
excellence	31	7.86	1.1782	--	--	2848	Excellence
rigoler	32	7.84	1.0174	--	2810	--	laugh
joyeuses	33	7.84	1.0174	--	2709	--	happy
holidays	34	7.84	1.0568	--	2179	--	holidays
excellent	35	7.84	1.2014	2064	1314	3304	fine
j'aime	36	7.84	1.0947	--	157	--	I love
plage	37	7.84	1.0568	2047	3398	--	beach
cadeaux	38	7.82	0.9409	792	515	--	gifts
sourire	39	7.82	0.9409	4453	1094	3719	smile
plaisirs	40	7.80	0.8806	--	--	3903	pleasure
genial	41	7.80	1.1429	--	4679	--	genial
rêver	42	7.80	1.1066	--	2116	--	dream
amies	43	7.80	0.9258	--	2430	--	friends
triomphe	44	7.80	1.1952	--	--	2490	triumph
trésor	45	7.78	1.1830	--	--	2276	treasure
superbe	46	7.78	1.0746	2998	1874	--	beautiful
voyages	47	7.76	1.2048	665	--	3309	traveling
tendresse	48	7.76	1.1704	--	--	5032	tenderness
voyager	49	7.76	1.2867	4579	--	--	travel
belle	50	7.76	1.0606	777	204	813	beautiful
chéri	51	7.74	1.2423	--	2766	--	honey
reve	52	7.74	1.0461	--	2650	--	dream
génial	53	7.74	1.0654	--	1319	--	awesome
extraordinaires	54	7.74	1.0844	--	--	4324	Extraordinary
fête	55	7.74	1.1031	1333	698	2084	celebration
rêve	56	7.72	1.0110	2460	700	2165	dream
