Word	HappRank	Havg	StDev	Gweb_Rank	TwitterRank	Gbook_Rank	translation
verliebt	1	8.14	1.1068	--	2898	--	love
peace	2	8.00	1.2122	--	2914	--	peace
frieden	3	7.96	1.3547	--	--	1096	peace
humor	4	7.94	0.8901	3622	3731	--	humor
liebe	5	7.94	1.4626	487	168	506	love
wunderschöne	6	7.92	1.4405	--	3290	--	beautiful
glück	7	7.92	1.2591	1780	584	1613	happiness
wunderschönen	8	7.90	1.0546	--	3671	--	beautiful
freunde	9	7.90	1.1650	621	772	1574	friends
holiday	10	7.90	1.1112	--	1717	--	holiday
freiheit	11	7.88	1.5205	3037	2815	366	freedom
lachen	12	7.84	1.4194	4705	1359	5005	laughter
lieben	13	7.84	1.5826	2648	753	3023	love
urlaub	14	7.82	1.2887	735	610	--	holiday
perfekt	15	7.82	1.3506	3592	1541	--	perfect
glücklich	16	7.82	1.4384	--	1273	3032	happy
wunderschön	17	7.80	1.3851	--	4307	--	beautiful
wunderbar	18	7.80	1.2454	--	2745	--	wonderful
love	19	7.80	1.3851	1696	61	--	love
paradise	20	7.78	1.2982	--	3243	--	paradise
freude	21	7.78	1.2501	2653	2085	1746	pleasure
weihnachtsfest	22	7.78	1.2824	--	1807	--	christmas party
sunshine	23	7.78	1.4469	--	4824	--	sunshine
kiss	24	7.76	1.5194	--	1457	--	kiss
freundschaft	25	7.76	1.2048	--	4320	2969	friendship
schönheit	26	7.76	1.2048	4969	--	2109	beauty
schönste	27	7.76	1.1350	--	3310	--	beautiful
gesund	28	7.74	1.1920	3119	2096	--	healthy
spaß	29	7.72	1.2784	1188	479	--	enjoyment
loves	30	7.72	1.3099	--	1479	--	loves
freund	31	7.72	1.1073	816	936	1542	friend
weihnachtszeit	32	7.70	1.2330	--	2578	--	christmas time
wonderful	33	7.70	1.2976	--	1304	--	wonderful
super	34	7.70	1.3439	837	319	--	super
happy	35	7.70	1.6067	4054	151	--	happy
freuen	36	7.68	1.1147	1436	1285	--	please
weihnachten	37	7.68	1.5178	2645	158	--	Christmas
liebes	38	7.66	1.1359	--	3426	--	dear
geburtstag	39	7.66	1.4086	2072	1148	5007	birthday
glückwunsch	40	7.66	1.2715	--	1595	--	congratulation
liebt	41	7.66	1.4792	--	1650	--	loves
geschenke	42	7.64	1.1739	2411	836	--	gifts
spass	43	7.64	1.5748	3227	1580	--	enjoyment
herrlich	44	7.64	1.0645	--	4818	--	gorgeous
gewinner	45	7.64	1.2578	4994	2697	--	winner
herzlich	46	7.64	1.1021	1503	2861	--	heartily
kisses	47	7.64	1.2898	--	3311	--	kisses
happiness	48	7.62	1.7600	--	4229	--	happiness
herz	49	7.62	1.1761	1855	810	1560	heart
sun	50	7.62	1.6149	3144	2155	--	sun
loving	51	7.60	1.2454	--	3742	--	loving
weihnachtsgeschenke	52	7.60	1.7496	--	2053	--	christmas
christmas	53	7.60	1.4983	--	139	--	christmas
heiligabend	54	7.60	1.6782	--	2591	--	Christmas Eve
erfolg	55	7.58	1.3107	1154	996	765	success
kuscheln	56	7.58	1.5131	--	4758	--	cuddle
schokolade	57	7.58	1.2792	--	2310	--	chocolate
lecker	58	7.56	1.2803	--	1398	--	scrumptious
reisen	59	7.56	1.3118	495	3045	3266	travels
weihnachtsstimmung	60	7.56	1.5539	--	4083	--	weihnachtsstimmung
schön	61	7.56	1.2149	1005	244	2119	beautiful
sommer	62	7.56	1.4020	1339	1798	1813	summer
ferien	63	7.56	1.4165	3406	1076	--	Holiday
positiv	64	7.56	1.4591	1589	4101	2180	positive
sonne	65	7.56	1.6308	2012	1290	1795	sun
harmonie	66	7.54	1.1643	--	--	3710	harmony
positive	67	7.54	1.0730	2812	3495	1734	positive
lächeln	68	7.54	1.1817	--	2811	--	smile
ausgezeichnet	69	7.52	1.1822	3081	--	--	awarded
blumen	70	7.52	1.2493	2955	--	--	flowers
witzig	71	7.52	1.1292	--	2094	--	witty
friends	72	7.52	1.3438	2272	345	--	friends
holidays	73	7.48	1.4320	--	1426	--	holidays
familie	74	7.48	1.2974	565	964	632	family
herzlichen	75	7.48	1.1292	--	2104	--	warm
natur	76	7.48	1.3130	917	3595	228	nature
smile	77	7.48	1.1822	--	1019	--	smile
joy	78	7.48	1.5810	--	4742	--	joy
toll	79	7.46	1.3881	3182	482	--	great
bester	80	7.46	1.2488	5070	3581	--	Best
feierabend	81	7.46	1.4172	--	1882	--	closing time
schönes	82	7.46	1.1817	3844	869	--	nice
kuchen	83	7.46	1.1643	4749	4245	--	cake
traum	84	7.46	1.2324	4095	1970	3386	dream
laughing	85	7.44	1.4020	--	3574	--	laughing
genial	86	7.44	1.4309	--	1789	--	awesome
hübsch	87	7.44	1.1457	--	3101	--	pretty
vertrauen	88	7.44	1.1634	3701	3042	1547	trust
freizeit	89	7.44	1.2803	519	--	--	leisure time
genuss	90	7.44	1.1095	3340	--	--	enjoyment
fröhliche	91	7.44	1.5140	--	3057	--	cheerful
begeisterung	92	7.44	1.5140	--	--	4196	enthusiasm
darling	93	7.44	1.1095	--	4016	--	darling
freue	94	7.44	1.1095	--	1081	--	am
#urlaub	95	7.44	1.6183	--	3840	--	# Vacation
birthday	96	7.42	1.7154	--	412	--	birthday
leidenschaft	97	7.42	1.2137	--	--	4240	passion
gewinnen	98	7.42	1.5265	1397	649	1007	win
geschenk	99	7.42	1.2792	4832	995	--	gift
heimat	100	7.42	1.1445	4099	4706	1844	home
delicious	101	7.42	1.1796	590	--	--	delicious
herzen	102	7.42	1.6424	3214	1838	1887	heart
weihnachtsmann	103	7.42	1.2792	--	1569	--	santa claus
gesundes	104	7.42	1.1082	--	3458	--	healthy
fantastic	105	7.42	1.3107	--	3824	--	fantastic
gewinn	106	7.40	1.3093	3956	--	2343	income
loved	107	7.40	1.2936	--	2202	--	loved
weihnachtsgeschenk	108	7.40	1.6660	--	1698	--	christmas
träumen	109	7.40	1.2617	--	3990	--	dream
winner	110	7.40	1.1952	--	4661	--	winner
feiertage	111	7.40	1.4428	--	2123	--	holidays
oma	112	7.40	1.1952	--	1920	--	oma
weihnachtsmarkt	113	7.40	1.9272	--	1350	--	christmas market
lustige	114	7.40	1.0302	4602	4194	--	funny
dankeschön	115	7.40	1.3553	--	1829	--	thank-you
wochenende	116	7.40	1.5908	2211	880	--	weekend
lovely	117	7.40	1.3997	--	1762	--	lovely
wahrheit	118	7.40	1.2289	4045	2146	488	truth
*smiles	119	7.38	1.3231	--	3956	--	* Smiles
beautiful	120	7.38	1.6022	--	462	--	beautiful
tolles	121	7.38	1.1761	--	1812	--	great
feiern	122	7.38	1.2436	3500	1401	--	commemorate
gerechtigkeit	123	7.38	1.3076	--	--	1886	justice
lustig	124	7.38	1.4270	4648	1184	--	funny
erfolgreich	125	7.38	1.2103	1697	1848	2776	successfully
schatz	126	7.38	1.5894	--	1483	--	treasure
great	127	7.38	1.4693	4411	290	--	great
süße	128	7.38	1.1761	--	1092	--	sweetness
weihnacht	129	7.38	1.6646	--	3876	--	Christmas
fun	130	7.38	1.5635	1777	706	--	fun
zufrieden	131	7.38	1.3686	2869	2955	3606	satisfied
hochzeit	132	7.36	1.3365	3082	4830	--	wedding
ferienhaus	133	7.36	1.1563	2043	3143	--	holiday home
#weihnachten	134	7.36	1.8600	--	1459	--	# Christmas
süß	135	7.36	1.1386	--	902	--	sweet
juhu	136	7.36	1.4950	--	3939	--	yay
party	137	7.36	1.2415	1145	572	--	party
lach	138	7.34	1.2715	--	3897	--	lol
funny	139	7.34	1.5467	--	917	--	funny
family	140	7.34	1.3644	4501	617	--	family
geschenke”	141	7.34	1.3940	--	4946	--	gifts "
prima	142	7.34	1.3644	--	3475	--	prima
success	143	7.34	1.5986	--	4214	--	success
genießen	144	7.32	1.2196	2434	3000	--	enjoy
welcome	145	7.32	1.2526	--	764	--	welcome
hahahaha	146	7.32	1.7548	--	1301	--	hahahaha
beauty	147	7.32	1.2196	1108	2458	--	beauty
wellness	148	7.32	1.3768	1038	3387	--	wellness
gesundheit	149	7.32	1.3005	386	1951	2658	health
strand	150	7.32	1.3468	2841	--	--	beach
frohes	151	7.32	1.0962	--	884	--	Happy
gut	152	7.30	1.0738	165	110	260	good
bestanden	153	7.30	1.5286	--	--	2563	passed
liebsten	154	7.30	1.5419	--	2295	--	favorite
wunder	155	7.30	1.3740	4978	2688	2693	wonderful
frei	156	7.30	1.3887	730	856	781	free
freunden	157	7.30	1.1650	2245	1672	3963	friends
höhepunkt	158	7.30	1.2817	--	--	3950	highlight
froh	159	7.30	1.5152	--	2030	--	happy
pretty	160	7.28	1.2943	--	1084	--	pretty
summer	161	7.28	1.6665	--	2870	--	summer
treue	162	7.28	1.3407	--	--	3276	faithful
smiles	163	7.28	1.4148	--	5124	--	smiles
schenken	164	7.28	1.3099	--	2288	--	give
gewonnen	165	7.28	1.4291	4016	2174	1615	won
freundin	166	7.28	1.0887	2122	868	--	friend
schönsten	167	7.28	1.2623	3481	3079	--	most
schönen	168	7.26	1.3524	2302	544	1735	beautiful
weekend	169	7.26	1.5093	--	1622	--	weekend
music	170	7.26	1.3674	781	477	--	music
adorable	171	7.26	1.6011	--	4116	--	adorable
gerettet	172	7.26	1.2090	--	4884	--	saved
nice	173	7.26	1.2747	--	333	--	nice
friend	174	7.26	1.4542	--	741	--	friend
lob	175	7.26	1.3219	3153	--	--	praise
beste	176	7.26	1.3219	858	588	2032	best
engel	177	7.26	1.7120	3576	2427	4263	angel
friedens	178	7.26	1.5884	--	--	2661	peace
perfect	179	7.24	1.4223	--	966	--	perfect
lieb	180	7.24	1.1528	--	1221	--	loving
good	181	7.24	1.2867	3204	147	--	good
unabhängigkeit	182	7.24	1.2382	--	--	2192	freedom
träume	183	7.24	1.3024	--	2196	--	dream
partnerschaft	184	7.24	1.2216	3396	--	--	partnership
beliebt	185	7.24	1.1168	3479	3768	--	popular
sweet	186	7.24	1.2545	--	749	--	sweet
gewinne	187	7.24	1.1704	--	3350	--	gains
erfolge	188	7.24	1.3024	--	--	2140	successes
