Word	Havg	StDev	FreqListRank	TwitterRank	translation
kebahagiaan	1	8.42	0.8352	2803	1145	happiness
bahagia	2	8.26	1.0844	537	396	happy
hahahahahaha	3	8.14	1.2938	--	3741	hahahahahaha
hahahahaha	4	8.14	1.2779	--	1304	hahahahaha
hahahhaha	5	8.14	1.2291	--	6133	hahahhaha
berbahagia	6	8.10	1.0351	--	5996	be happy
surga	7	8.06	1.2521	1200	2205	heaven
tertawa	8	8.06	1.0382	609	1841	laugh
hahhaha	9	8.04	1.2447	--	2790	hahhaha
gembira	10	8.04	1.0490	2124	--	excited
hahahahha	11	8.02	1.2696	--	5855	hahahahha
kegembiraan	12	8.00	0.9035	5721	--	excitement
happiness	13	7.98	1.2696	--	5068	happiness
success	14	7.98	1.1156	--	4950	success
hahahahah	15	7.96	1.5644	--	3353	hahahahah
sukses	16	7.94	1.0956	1657	478	success
huahahaha	17	7.94	1.6710	--	5675	huahahaha
happy	18	7.94	1.3157	3045	124	happy
love	19	7.94	1.2683	1160	125	love
hahahaaa	20	7.92	1.3827	--	4495	hahahaaa
ceria	21	7.90	0.9742	--	4083	cheers
cinta	22	7.88	1.0812	252	63	love
keberhasilan	23	7.86	1.1250	--	3887	success
wakakakak	24	7.86	1.4570	--	5508	wakakakak
tuhan	25	7.84	1.5566	121	206	God
hahaha	26	7.82	1.1726	--	47	hahaha
perfect	27	7.82	1.2567	--	1576	perfect
sempurna	28	7.82	1.3805	545	961	perfect
hhahaha	29	7.82	1.1726	--	3103	hhahaha
menikah	30	7.82	1.0821	475	3888	married
ƗƗɑƗƗɑƗƗɑ	31	7.82	1.2567	--	1521	ƗƗɑƗƗɑƗƗɑ
mencintaimu	32	7.80	1.1780	608	861	love you
kesuksesan	33	7.80	1.0880	--	2948	success
wahahaha	34	7.80	1.2617	--	5497	wahahaha
hebat	35	7.80	1.1249	257	1055	great
berhasil	36	7.78	1.2501	288	1640	succeed
hahahaa	37	7.78	1.2002	--	1610	hahahaa
berlibur	38	7.78	1.1480	4866	--	vacation
optimis	39	7.76	1.2545	--	3054	optimistic
allah	40	7.76	1.6107	887	207	God
hahahaha	41	7.74	1.3524	--	321	hahahaha
menang	42	7.74	1.1214	501	667	win
ketawa	43	7.74	1.1572	--	794	laughter
menyenangkan	44	7.74	1.1572	412	1534	please
keberuntungan	45	7.72	0.9485	1579	5907	luck
dicintai	46	7.72	1.1787	4299	2441	loved
kekasihku	47	7.72	1.1436	6223	--	lover
kemenangan	48	7.72	1.3708	1560	3476	victory
huahaha	49	7.70	1.0926	--	3450	huahaha
rejeki	50	7.70	1.2330	--	3731	fortune
lucky	51	7.70	1.2817	3736	5299	lucky
senang	52	7.70	1.0738	193	838	happy
haha	53	7.68	1.3316	--	16	haha
perdamaian	54	7.68	1.1856	2565	--	peace
beautiful	55	7.66	1.0224	--	1407	beautiful
laughing	56	7.66	1.4654	4315	--	laughing
hahaaa	57	7.66	1.4792	--	2687	hahaaa
ahahaha	58	7.66	1.3793	--	1173	ahahaha
ƗƗɑƗƗɑƗƗɑƗƗɑ	59	7.66	1.8363	--	4113	ƗƗɑƗƗɑƗƗɑƗƗɑ
laugh	60	7.66	1.2554	--	4389	laugh
wkwkwkwkw	61	7.66	1.6612	--	5603	Wkwkwkwkw
holiday	62	7.66	1.2390	--	1793	holiday
ngakak	63	7.64	1.4394	--	761	lol
hadiah	64	7.64	1.0254	692	1029	gift
wahaha	65	7.64	1.3962	--	2558	wahaha
hahahha	66	7.64	1.6258	--	1869	hahahha
hehehehe	67	7.64	1.2578	--	1733	hehehehe
wkwkwk	68	7.62	1.4968	--	250	wkwkwk
alhamdulillah	69	7.62	1.3834	--	489	alhamdulillah
mencintai	70	7.62	1.1045	767	568	love
best	71	7.62	1.3076	--	217	best
bertunangan	72	7.62	1.0669	5494	--	engaged
hahha	73	7.62	1.0280	--	1082	hahha
kebahagian	74	7.62	1.2919	--	5175	happiness
loving	75	7.60	1.2454	--	3712	loving
rezeki	76	7.60	1.1249	--	3785	sustenance
terindah	77	7.60	1.0690	--	1617	beautiful
hahahah	78	7.60	1.4286	--	978	hahahah
tersenyum	79	7.60	0.9689	1982	900	smile
pemenang	80	7.60	1.3401	2263	2269	winner
cantik	81	7.60	0.9476	366	214	beautiful
romantis	82	7.60	0.9897	2296	1540	romantic
mencintaiku	83	7.60	1.2454	2090	4855	love
hªhªhªhªhª	84	7.58	1.8416	--	3800	h ª h ª h ª h ª h ª
tawa	85	7.58	1.0708	--	2213	laughter
