Word	Havg	StDev	FreqListRank	TwitterRank	translation
사랑합니다	1	7.84	1.2675	688	1543	Love
사랑해	2	7.84	1.2513	596	840	I love you
사랑해요	3	7.80	1.2122	--	1136	I love you
축하합니다	4	7.64	1.2415	--	2809	Congratulations
행복	5	7.62	1.4412	--	4289	Happiness
happy	6	7.62	1.3834	--	2488	happy
Happy	7	7.62	1.2599	--	818	Happy
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	8	7.60	1.5253	--	5969	Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah
사랑	9	7.60	1.3702	153	658	Love
축하드립니다	10	7.58	0.9916	--	2089	Congratulations
행복해	11	7.56	1.4591	--	4583	Happy
사랑한다	12	7.54	1.2969	2326	3852	Love
HAPPY	13	7.54	1.4172	--	4516	HAPPY
메리크리스마스	14	7.52	1.3589	--	979	Merry Christmas
행복하다	15	7.50	1.4463	4315	5980	Happy
love	16	7.50	1.4743	--	1037	love
사랑한다고	17	7.46	1.0730	--	5565	Love
행복한	18	7.44	1.4309	1715	358	Happy
축하드려요	19	7.44	0.9930	--	2285	Congratulations
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	20	7.44	1.7043	--	3215	Blah blah blah blah blah blah blah blah blah blah blah blah blah
사랑하고	21	7.42	1.1265	--	2598	Love
최고	22	7.40	1.3248	--	651	Maximum
고마워	23	7.40	1.2936	422	588	Thanks
축하해	24	7.40	0.9689	--	2443	Congratulations
Christmas	25	7.38	1.4693	--	1029	Christmas
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	26	7.36	1.4535	--	2778	Blah blah blah blah blah blah blah blah blah blah blah blah
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	27	7.36	1.7468	--	4361	Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah
사랑하는	28	7.34	1.3644	830	529	Loving
크리스마스	29	7.34	1.2056	2079	115	Christmas
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	30	7.32	1.8232	--	5483	Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah
해피	31	7.32	1.4769	--	3864	Happy
행복하고	32	7.32	1.2196	--	3825	Happy and
크리스마스날	33	7.30	1.2976	--	5405	Christmas Day
환영합니다	34	7.30	1.1995	1479	5717	Welcome to
이쁘다	35	7.30	0.9530	--	1950	Ooh
크리스마스가	36	7.30	1.3286	--	1787	Christmas
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	37	7.30	1.8434	--	5022	Blah blah blah blah blah blah blah blah blah blah blah blah blah blah blah
감사합니다^^	38	7.28	1.3099	--	1854	Thank you ^ ^
Best	39	7.28	1.3099	--	3847	Best
사랑의	40	7.28	1.2296	--	1864	Love
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	41	7.28	1.6908	--	3867	Blah blah blah blah blah blah blah blah blah blah blah blah blah blah
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	42	7.28	1.3708	--	1829	Blah blah blah blah blah blah blah blah blah blah blah
웃음	43	7.26	1.1747	388	1895	Laughter
선물	44	7.24	1.2382	3675	537	Gift
사랑은	45	7.24	1.1350	672	1254	Love
사랑이	46	7.24	1.1877	2681	1567	Love
즐거운	47	7.24	1.0412	897	213	Joyful
즐겁고	48	7.24	1.0984	--	2446	Fun
성탄절	49	7.22	1.3746	5103	2621	Christmas
화이팅	50	7.22	1.4469	--	275	Go
행복한거야	51	7.22	1.2982	4314	--	Happy.
축하해요	52	7.22	1.1657	3647	2823	Congratulations
ㅎㅎㅎㅎㅎ	53	7.20	1.1249	--	1652	Heh heh heh heh heh
훌륭합니다	54	7.20	1.1780	2911	--	Wonderful
좋아해	55	7.20	1.0302	1738	2521	I like
Love	56	7.20	1.5253	--	1835	Love
감사해요	57	7.18	1.1373	4581	1556	Thank you
예쁜	58	7.18	0.9833	--	1430	Pretty
멋졌어요	59	7.16	1.0947	2958	--	Awesome
안녕하세요^^	60	7.16	1.0373	--	2685	Hi ^ ^
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	61	7.16	1.2993	--	502	Blah blah blah blah blah blah blah
크리스마스때	62	7.16	1.4619	--	3175	Christmas.
하하하하	63	7.16	1.2349	--	4853	Ha ha ha ha ha
1위	64	7.16	1.6458	--	622	1 of
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	65	7.14	1.4144	--	1221	Blah blah blah blah blah blah blah blah blah
성공	66	7.14	1.3250	--	4006	Success
크리스마스에	67	7.14	1.4709	--	1143	Christmas
감사합니다	68	7.14	1.2456	74	148	Thank you
christmas	69	7.14	1.4848	--	3087	christmas
신난다	70	7.12	1.1891	--	3352	Awesome
행복이	71	7.12	1.3797	--	5979	Happiness
감동	72	7.12	1.0999	--	3280	Emotion
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	73	7.12	1.5862	--	717	Blah blah blah blah blah blah blah blah
축하	74	7.12	1.2061	1858	1568	Celebration
승리	75	7.12	1.2061	2944	3880	Win
ㅋㅋㅋㅋㅋㅋㅋ	76	7.12	1.1183	--	166	Blah blah blah blah blah
행복하게	77	7.10	1.3286	2987	2052	Happily
반갑습니다	78	7.10	1.0926	--	963	Nice to meet you.
행복하세요	79	7.10	1.2976	--	4626	Be happy
크리스마스는	80	7.10	1.4033	--	1927	Christmas
사랑으로	81	7.10	1.1995	--	5119	Love
기쁜	82	7.10	1.0738	--	4916	Glad
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	83	7.10	1.6568	--	2158	Blah blah blah blah blah blah blah blah blah blah blah blah
크리스마스를	84	7.10	1.1650	--	2040	Christmas
예쁘다	85	7.08	1.2752	--	4768	Beautiful
결혼	86	7.08	1.2095	322	2645	Marriage
멋지다	87	7.08	1.2095	3415	3255	Cool
희망이	88	7.08	1.0467	2552	3615	Hope this
귀여워	89	7.08	0.9442	--	1242	Cute
당첨	90	7.08	1.3679	--	3748	Winning
이뻐요	91	7.08	1.2428	--	5550	Nice look
Birthday	92	7.06	1.2843	--	5617	Birthday
고맙다	93	7.06	1.1141	898	2546	Thank you
반갑다	94	7.06	1.2521	4430	--	Nice to meet you
