Word	Havg	StDev	GoogleRank	TwitterRank	translation
feliz	1	8.48	0.7624	853	77	happy
amor	2	8.46	1.0343	273	53	love
amar	3	8.46	0.9304	2618	339	love
felicidade	4	8.42	0.9916	2762	513	happiness
perfeito	5	8.38	1.0669	2798	602	perfect
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	6	8.38	1.2271	--	3035	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
kkkkkkkkkkkkkkkkkkkkkkkkkkkkk	7	8.36	1.2578	--	2918	kkkkkkkkkkkkkkkkkkkkkkkkkkkkk
ferias	8	8.30	0.9091	--	1109	holidays
kkkkkkkkkkkkkkkkkkkkkkkkkkk	9	8.28	1.5391	--	2549	kkkkkkkkkkkkkkkkkkkkkkkkkkk
hahahahahahaha	10	8.26	1.0264	--	3787	hahahahahahaha
mãe	11	8.26	1.0264	895	157	mother
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	12	8.26	1.4682	--	5686	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	13	8.26	1.4820	--	6340	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	14	8.24	1.3637	--	3846	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
alegria	15	8.24	0.9806	2198	821	joy
natal	16	8.22	1.1830	441	91	natal
perfeita	17	8.22	1.1119	4259	1015	perfect
férias	18	8.20	1.0302	1710	535	vacation
hahahahahaha	19	8.20	0.9476	--	2185	hahahahahaha
kkkkkkkkkkkkkkkk'	20	8.18	1.4097	--	5570	kkkkkkkkkkkkkkkk '
kkkkkkkkkkkkkkkkkkkkk	21	8.18	1.6866	--	1525	kkkkkkkkkkkkkkkkkkkkk
felicidades	22	8.18	1.1726	--	1521	cheers
love	23	8.18	1.0039	1283	262	love
sucesso	24	8.18	1.0821	959	984	success
carinho	25	8.18	1.0240	3810	1029	affection
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	26	8.16	1.4479	--	5914	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	27	8.16	1.8666	--	4054	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
paraíso	28	8.16	1.1493	4627	6333	paradise
maravilhosa	29	8.16	1.2349	6187	2119	wonderful
mães	30	8.16	1.1314	5436	--	mothers
mamãe	31	8.14	1.2124	--	1740	mom
beijos	32	8.14	1.1608	2919	312	kisses
ótima	33	8.12	1.2061	5663	1963	great
sensacional	34	8.10	1.0546	--	6131	sensational
beijar	35	8.10	1.2164	--	1758	kiss
aprovado	36	8.10	1.1995	2153	--	okay
paz	37	8.10	1.2657	1273	472	peace
amoooor	38	8.10	1.2657	--	4789	amoooor
beeijos	39	8.08	1.0660	--	1822	beeijos
teamo	40	8.08	1.4546	--	1827	teamo
liberdade	41	8.08	1.1578	1615	2804	freedom
kkkkkkkkkkkkkkkkk	42	8.08	1.4405	--	1083	kkkkkkkkkkkkkkkkk
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	43	8.08	1.7478	--	4542	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	44	8.08	1.5097	--	5172	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
hahahahah	45	8.08	0.9655	--	2716	hahahahah
Ótimo	46	8.08	0.8533	--	4328	Optimum
felizes	47	8.06	1.4486	6281	1894	happy
amooor	48	8.06	1.4201	--	1990	amooor
linda	49	8.06	0.9348	1620	114	beautiful
risadas	50	8.06	0.9775	--	3082	laughter
beijão	51	8.06	0.8668	--	4048	XOXO
beeeijos	52	8.04	1.4280	--	3891	beeeijos
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	53	8.04	1.9162	--	3358	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
livre	54	8.04	1.0683	369	1673	free
hahahahahahahaha	55	8.04	1.2930	--	6282	hahahahahahahaha
kkkkkkkkkkkkkkkkkkkkkkkkk	56	8.04	1.6532	--	2184	kkkkkkkkkkkkkkkkkkkkkkkkk
sorriso	57	8.04	1.0093	2861	379	smile
sorrir	58	8.04	1.3242	--	635	smile
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	59	8.04	1.8401	--	4334	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
viajar	60	8.04	1.1945	5704	1060	travel
Ótima	61	8.02	0.9366	--	5648	Great
viver	62	8.02	1.2696	1524	409	live
adoro	63	8.02	1.0398	2579	599	love
excelente	64	8.02	1.2856	1361	3761	excellent
parabens	65	8.02	1.0784	4050	1134	parabens
alegrias	66	8.02	1.5318	--	4068	joys
parabéns	67	8.02	1.0593	1837	434	congratulations
amamos	68	8.02	1.0971	--	2334	love
kkkkkkkkkkkkkkkkkk	69	8.02	1.4213	--	1232	kkkkkkkkkkkkkkkkkk
amoooo	70	8.02	1.1516	--	4097	amoooo
amizades	71	8.00	0.9897	--	2149	friendships
amores	72	8.00	1.1780	--	415	loves
mae	73	8.00	1.2936	--	384	mae
ahahaha	74	8.00	1.3702	--	4271	ahahaha
beijo	75	8.00	0.9476	2959	341	kiss
kkkkkkkkkkkkkkkkkkkkkkkkkk	76	8.00	1.6162	--	2315	kkkkkkkkkkkkkkkkkkkkkkkkkk
família	77	8.00	1.0880	615	772	family
kkkkkkkkkkkkkkkkkkkk	78	8.00	1.6162	--	1410	kkkkkkkkkkkkkkkkkkkk
hahahahha	79	8.00	1.1429	--	5006	hahahahha
mÃe	80	8.00	1.2778	--	2001	mother
beijoss	81	8.00	1.1249	--	6225	Beijoss
ótimo	82	8.00	1.1952	4211	1259	optimum
feriado	83	8.00	1.2617	--	4494	holiday
amei	84	8.00	1.4428	5848	829	loved
alegre	85	7.98	1.0398	635	2240	cheerful
campeão	86	7.98	1.0784	3668	1334	champion
bem-estar	87	7.98	1.1865	4703	--	welfare
mamae	88	7.98	1.1865	--	3474	Mommy
vovó	89	7.98	1.2696	--	3596	Grandma
hahahahahah	90	7.98	1.2036	--	5114	hahahahahah
chocolate	91	7.98	1.2204	3131	848	chocolate
kkkkkkkkkk	92	7.96	1.3991	--	485	kkkkkkkkkk
apaixonada	93	7.96	1.0093	--	1697	love
namorados	94	7.96	0.9681	--	5351	boyfriends
amo	95	7.96	1.1599	1342	59	master
maravilha	96	7.96	1.1599	--	2953	wonder
vida	97	7.96	1.2930	123	73	life
deus	98	7.96	1.4280	350	87	god
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	99	7.94	2.1704	--	4948	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
viagens	100	7.94	1.1323	1442	--	traveling
kkkkkkkkkkkkkkkk	101	7.94	1.5960	--	970	kkkkkkkkkkkkkkkk
vitória	102	7.94	1.3001	1306	1898	victory
kkkkkkkkkkkkkkkkkkkkkkkkkkkk	103	7.94	1.8562	--	2779	kkkkkkkkkkkkkkkkkkkkkkkkkkkk
kkkkkkkkkkkkkkkkkkkkkkkk	104	7.94	1.8003	--	1948	kkkkkkkkkkkkkkkkkkkkkkkk
réveillon	105	7.94	1.2191	--	4458	New Year's Eve
promoção	106	7.94	1.0577	1443	1594	promotion
sorrindo	107	7.94	1.2191	--	1946	smiling
diversão	108	7.94	1.0577	3233	4664	fun
hahahahaha	109	7.94	1.1851	--	1122	hahahahaha
solidariedade	110	7.92	1.0660	5204	--	solidarity
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	111	7.92	1.6640	--	3511	kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
lindas	112	7.92	1.0850	5620	741	beautiful
amizade	113	7.92	1.1578	1621	636	friendship
famÍlia	114	7.92	1.3974	--	5047	family
sorria	115	7.92	1.0850	--	2002	smile
vencedor	116	7.92	1.3679	5593	5434	winner
sorte	117	7.90	0.8631	2002	510	luck
avó	118	7.90	1.1294	--	3173	grandmother
lindaaa	119	7.90	1.4178	--	3458	lindaaa
risada	120	7.90	1.2657	--	1388	laugh
maravilhoso	121	7.90	1.3132	5675	1635	wonderful
euteamo	122	7.90	1.5811	--	3929	euteamo
kkkkkkkk	123	7.90	1.2817	--	373	kkkkkkkk
otimo	124	7.90	1.0152	--	1659	otimo
lindona	125	7.90	1.2495	--	2920	lindona
engraçado	126	7.90	1.1995	--	1047	funny
namorar	127	7.88	1.1364	--	2165	woo
ama	128	7.88	1.2558	3926	194	nurse
kkkkkkkkkkkkkk'	129	7.88	1.4797	--	4523	kkkkkkkkkkkkkk '
sol	130	7.88	1.2879	1104	641	sun
praia	131	7.88	1.4234	739	464	beach
familia	132	7.88	1.0999	3822	657	family
musica	133	7.88	1.3192	1277	288	music
parabÉns	134	7.88	1.4090	--	2853	Congratulations
lindos	135	7.86	1.1608	--	996	beautiful
ganhou	136	7.86	1.2124	4444	1533	won
amoor	137	7.86	1.5520	--	664	amoor
kkkkkkkkkkkkk'	138	7.86	1.4709	--	4022	kkkkkkkkkkkkk '
happy	139	7.86	1.7263	4712	933	happy
otima	140	7.86	1.0104	--	2698	otima
kkkkkkkkkkkkkkkkkkkkkk	141	7.86	1.6289	--	1652	kkkkkkkkkkkkkkkkkkkkkk
apaixonado	142	7.86	1.0692	6214	1765	passionate
música	143	7.86	1.1068	167	298	music
lindo	144	7.86	1.3999	2108	177	beautiful
kkkkkkk	145	7.84	1.3303	--	320	kkkkkkk
kkkkkkkkk'	146	7.84	1.1314	--	2702	kkkkkkkkk '
risos	147	7.84	0.9553	--	3066	laughs
aniversário	148	7.84	1.0373	1763	1039	birthday
amam	149	7.84	1.1314	--	1801	love
paixão	150	7.84	1.1843	3004	1631	passion
amooo	151	7.84	1.2513	--	2017	amooo
kkkkkkkkkkkkkkkkk'	152	7.84	1.5566	--	6203	kkkkkkkkkkkkkkkkk '
inteligência	153	7.82	1.2728	4415	5276	intelligence
romance	154	7.82	1.1551	3019	3003	romance
viagem	155	7.82	1.4665	747	1593	trip
grátis	156	7.82	1.0240	362	4561	free
feliiz	157	7.82	1.3506	--	2724	feliiz
milagre	158	7.82	1.7922	--	1879	miracle
churrasco	159	7.82	1.4097	--	2870	barbecue
kkkkkkkkkkkkkk	160	7.82	1.5996	--	750	kkkkkkkkkkkkkk
saudável	161	7.82	1.1726	5568	--	healthy
ganhamos	162	7.82	1.1192	--	6046	gain
vencer	163	7.82	1.2728	4816	1980	win
beijoos	164	7.82	1.4665	--	2337	beijoos
perfeitos	165	7.82	1.0631	--	4855	perfect
reveillon	166	7.80	1.3851	--	2092	New Year's Eve
sabedoria	167	7.80	1.1429	6326	5051	wisdom
perfeição	168	7.80	1.2617	--	2941	perfection
coração	169	7.80	1.0102	964	216	heart
dinheiro	170	7.80	1.3248	723	555	money
amigos	171	7.80	1.1066	239	261	Friends
diploma	172	7.80	1.2289	6305	--	diploma
festa	173	7.78	1.0359	692	345	party
apaixonei	174	7.78	1.2171	--	2971	fell
natureza	175	7.78	1.2982	975	4992	nature
amo”	176	7.78	1.3445	--	5111	Love "
delícia	177	7.78	1.0554	--	4109	delight
fÉrias	178	7.78	1.7646	--	4767	vacation
infância	179	7.78	1.2501	3499	3528	childhood
abraço	180	7.78	1.5158	1628	576	hug
animada	181	7.78	1.1119	--	3549	lively
free	182	7.78	1.2002	528	2930	free
bonitas	183	7.78	0.9750	--	3570	beautiful
amorr	184	7.76	1.6358	--	5479	amorr
famílias	185	7.76	1.2545	2848	--	families
fantástico	186	7.76	1.3180	--	5874	fantastic
beijando	187	7.76	1.2216	--	4453	kissing
#feliz	188	7.76	1.5460	--	6412	# Happy
amado	189	7.76	1.2048	4844	2319	beloved
sorri	190	7.76	1.1350	--	2110	smiles
hahahaha'	191	7.76	1.3334	--	4729	hahahaha '
rir	192	7.76	1.5328	5192	506	laugh
liiinda	193	7.76	1.1168	--	5296	liiinda
kkkkkkkkkkk'	194	7.76	1.7792	--	3269	kkkkkkkkkkk '
verdadeira	195	7.76	1.1877	3811	2168	true
kkkkkkkkkkkk	196	7.74	1.5493	--	621	kkkkkkkkkkkk
jesus	197	7.74	1.4820	805	585	Jesus
kkkkkkkkkkkkkkkkkkk	198	7.74	1.9775	--	1356	kkkkkkkkkkkkkkkkkkk
comemorar	199	7.74	1.0063	--	2499	celebrate
kkkkkkkkkkkkk	200	7.74	1.7706	--	682	kkkkkkkkkkkkk
kkkkkkkkkkkkkkkkkkkkkkk	201	7.74	1.7239	--	1811	kkkkkkkkkkkkkkkkkkkkkkk
apaixona	202	7.74	0.9858	--	4411	love
obrigada	203	7.74	1.1395	2293	333	Thank you
loves	204	7.74	1.2090	--	3214	loves
hahaha	205	7.72	1.1256	--	221	hahaha
gratuito	206	7.72	1.0309	1372	--	free
lindoo	207	7.72	1.0887	--	2421	lindoo
amoores	208	7.72	1.3708	--	4477	amoores
saúde	209	7.72	1.5124	132	1342	health
divertido	210	7.72	1.0309	--	3510	entertaining
premio	211	7.72	1.2784	--	3112	prize
brazil	212	7.72	1.4434	1271	1152	Brazil
brigadeiro	213	7.72	1.3407	--	2253	brigadier
sexta-feira	214	7.72	1.3254	1215	1982	Friday
sonhar	215	7.72	1.1787	--	1380	dream
sexta	216	7.70	1.3439	1834	631	sixth
money	217	7.70	1.2164	--	5571	money
apaixonar	218	7.70	1.1650	--	2425	love
divertir	219	7.70	1.2976	--	4123	amuse
estrela	220	7.70	1.1473	2312	2487	star
dezembro	221	7.70	1.4178	293	1250	December
promoções	222	7.70	1.1650	1526	--	promotions
papai	223	7.70	1.6444	5455	626	daddy
beijoo	224	7.70	1.2657	--	5290	beijoo
kkkkkkkkkkkkkkk	225	7.70	1.6194	--	859	kkkkkkkkkkkkkkk
#teamo	226	7.70	1.7642	--	6301	# Teamo
kkkkkkkkkk'	227	7.70	1.4743	--	2970	kkkkkkkkkk '
céu	228	7.70	1.1473	2206	953	sky
cura	229	7.68	1.2196	5688	3234	healing
positiva	230	7.68	1.2688	4427	--	positive
sorriu	231	7.68	0.9988	--	5833	smiled
campeao	232	7.68	1.4630	--	4681	champion
incrivel	233	7.68	1.0774	--	2954	incredible
bonita	234	7.68	1.1856	3874	1101	beautiful
abraços	235	7.68	1.2848	2432	1799	hugs
gratuitamente	236	7.68	1.3619	2833	--	free
comedia	237	7.66	1.2715	--	5782	comedia
aniversario	238	7.66	1.2875	--	1663	Birthday
criatividade	239	7.66	1.0994	5255	3726	creativity
hahahaha	240	7.66	1.4514	--	496	hahahaha
music	241	7.66	1.2390	839	2729	music
lazer	242	7.66	1.1537	1000	--	leisure
sábado	243	7.66	1.2875	957	1141	Saturday
romântico	244	7.66	1.0616	--	5998	romantic
músicas	245	7.66	1.1713	535	1176	songs
family	246	7.66	1.4792	5896	3592	family
hahahah	247	7.66	1.3940	--	1406	hahahah
amigo	248	7.66	1.1359	175	251	friend
amada	249	7.66	1.3494	--	2418	sweetheart
prazer	250	7.66	1.2715	2494	1624	pleasure
kkkkkkkkk	251	7.66	1.3644	--	423	kkkkkkkkk
ganhei	252	7.66	1.2390	--	603	won
best	253	7.66	1.4086	2204	729	best
hahahha	254	7.66	1.3793	--	3497	hahahha
sorrisos	255	7.66	1.7683	--	1376	smiles
kkkkkkkkkkk	256	7.66	1.6364	--	540	kkkkkkkkkkk
amorzinho	257	7.66	0.9392	--	3283	chickabiddy
