Word	HappRank	Havg	StDev	Freq_List	TwitterRank	Gbook_Rank	translation
люблю	1	8.22	0.8154	189	112	3031	love
любовь	2	8.22	0.9957	422	241	948	love
счастлива	3	8.20	0.8330	1533	1718	--	happy
счастливый	4	8.20	1.0302	3661	3968	--	happy
любить	5	8.16	0.8657	1215	685	4235	love
счастье	6	8.12	1.0230	1795	562	2301	happiness
любимая	7	8.10	0.9530	2318	1193	--	beloved
счастливая	8	8.10	0.9091	--	4339	--	happy
счастливы	9	8.08	1.0270	2359	3569	--	happy
счастливой	10	8.08	0.9442	3561	4036	--	happy
счастья	11	8.04	0.9467	2839	542	4004	happiness
любимый	12	8.04	0.9249	1836	873	--	favorite
счастлив	13	8.04	1.1058	1296	2064	--	happy
прекрасный	14	8.00	0.9258	1468	2215	--	beautiful
счастливым	15	8.00	0.9897	4044	3584	--	happy
радость	16	7.98	1.0593	2484	1687	2941	joy
влюблен	17	7.94	0.9127	4509	--	--	love
любимой	18	7.92	0.9442	--	1992	--	favorite
великолепно	19	7.92	1.1578	1584	--	--	magnificently
чудесный	20	7.92	0.9223	4339	--	--	wonderful
любимым	21	7.92	0.9864	--	2585	--	favorite
любовью	22	7.90	1.0926	1506	1456	4278	love
прекрасной	23	7.88	0.9823	4808	--	--	beautiful
счастью	24	7.88	1.1183	2958	--	--	Thankfully
любишь	25	7.88	1.0622	690	1021	--	love
прекрасная	26	7.88	0.9179	1933	4565	--	beautiful
счастливого	27	7.88	0.9398	2823	--	--	happy
прекрасно	28	7.86	0.9260	408	1626	2958	fine
любви	29	7.86	1.0692	730	487	973	love
отлично	30	7.86	1.1430	231	558	4645	fine
прекрасна	31	7.84	0.9553	3273	4100	--	beautiful
любимые	32	7.84	1.0568	--	1750	--	favorite
любимых	33	7.84	0.9337	--	2982	--	favorite
чудесно	34	7.82	0.9833	1810	--	--	wonderfully
wonderful	35	7.82	0.9624	--	4439	--	wonderful
любимого	36	7.82	1.0821	--	2652	--	favorite
влюбилась	37	7.80	0.9689	--	4482	--	love
отличная	38	7.80	0.9689	1341	1974	--	great
happy	39	7.80	1.1249	--	177	--	happy
лучший	40	7.80	1.0880	798	447	--	best
успех	41	7.80	1.1249	3226	3024	2837	success
счастливо	42	7.80	1.2122	2504	--	--	happily
превосходно	43	7.78	1.1657	3121	--	--	fine
отличное	44	7.76	1.1528	4035	2433	--	great
любимую	45	7.76	0.9806	--	4170	--	favorite
потрясающе	46	7.76	1.1350	1844	--	--	stunningly
любит	47	7.76	1.0214	621	602	3592	love
замечательный	48	7.74	1.0654	3260	3566	--	wonderful
свадьба	49	7.74	1.2747	2738	3604	--	wedding
победа	50	7.72	1.1613	3617	2480	3548	victory
отличный	51	7.72	1.0698	1367	976	--	great
рай	52	7.72	1.2623	2984	3417	--	paradise
влюбился	53	7.72	0.8340	3611	--	--	love
радости	54	7.72	1.0698	3839	2112	3281	joy
праздник	55	7.70	0.9742	2225	672	4698	holiday
обожаю	56	7.70	1.0351	1729	686	--	I love
прекрасные	57	7.70	1.1473	4326	--	--	fine
новогоднюю	58	7.70	1.1112	--	1609	--	New Year's
love	59	7.70	1.2330	--	148	--	love
радоваться	60	7.68	0.9355	--	3546	--	rejoice
удовольствие	61	7.68	1.2027	1893	3562	--	pleasure
подарки	62	7.68	1.0583	2878	362	--	gifts
прекрасное	63	7.68	1.0774	3562	4617	--	beautiful
маме	64	7.68	1.2196	1282	1468	--	Mom
смех	65	7.66	1.0994	3019	2832	--	laughter
мама	66	7.66	1.2224	157	239	4050	mom
красивая	67	7.66	0.9817	951	892	--	beautiful
улыбка	68	7.66	0.8715	--	3443	--	smile
смешно	69	7.64	0.9638	810	1098	--	funny
любим	70	7.64	1.0645	2574	2338	--	love
любимое	71	7.64	0.9848	--	4982	--	favorite
радостью	72	7.62	1.0669	3629	--	--	joy
дружба	73	7.62	1.0079	--	384	--	friendship
улыбкой	74	7.62	0.9875	--	4463	--	smile
праздники	75	7.60	0.9689	--	2088	--	holidays
красивое	76	7.60	0.9476	3268	4675	--	beautiful
красавица	77	7.60	0.9897	2450	4789	--	beauty
поцеловать	78	7.60	0.9689	3795	--	--	kiss
любят	79	7.60	0.9476	1464	1044	--	love
лучшая	80	7.60	1.1952	1938	1425	--	best
шикарно	81	7.60	0.9689	--	3582	--	chicly
умница	82	7.58	0.9916	4939	--	--	brain
красивый	83	7.58	0.9495	1632	1836	--	beautiful
пoдарок	84	7.58	0.9055	--	4981	--	podarok
замечательная	85	7.58	1.0120	3508	--	--	great
поцелуй	86	7.58	1.0120	1482	4891	--	kiss
улыбаться	87	7.58	0.9495	--	3749	--	smile
замечательно	88	7.56	1.1808	802	3241	--	great
ура	89	7.56	1.0721	2269	448	--	cheers
новогодний	90	7.56	1.1095	--	642	--	New Year
красота	91	7.56	0.9293	2875	1722	--	beauty
праздника	92	7.56	1.0134	--	2850	--	holiday
весело	93	7.56	1.0529	1454	854	4334	gaily
добрые	94	7.54	1.0144	--	3461	--	good
удача	95	7.54	1.1643	3683	--	--	good luck
красивой	96	7.54	0.9304	4223	3152	--	beautiful
добрый	97	7.52	1.0349	505	890	--	good
смеется	98	7.52	1.1110	3425	--	--	Laughs
рождества	99	7.50	1.2657	2500	4306	--	Christmas
