Word	HappRank	Havg	StDev	Gweb_Rank	TwitterRank	Gbook_Rank	translation
amor	1	8.68	0.7126	332	69	364	love
felicidad	2	8.60	0.8330	3620	381	2276	happiness
felicidades	3	8.48	0.7351	--	341	--	congratulations
paz	4	8.42	0.8827	700	391	348	peace
jajajajajajajajaja	5	8.42	1.0319	--	1999	--	jajajajajajajajaja
amar	6	8.38	0.9452	--	776	--	love
sonreir	7	8.38	0.9452	--	2639	--	smile
beso	8	8.36	0.7217	2997	309	--	kiss
éxito	9	8.34	0.8715	1452	697	1027	success
felíz	10	8.34	0.9607	--	2308	--	happy
jajajajajajajajajaja	11	8.34	1.1359	--	2859	--	jajajajajajajajajaj
¡feliz	12	8.34	1.1359	--	544	--	Happy
alegria	13	8.34	1.0022	--	1784	--	joy
enamoré	14	8.32	0.8676	--	2475	--	fell
jajajajajajaja	15	8.32	1.0962	--	647	--	jajajajajajaja
sonrisas	16	8.28	0.8581	--	2094	--	smiles
sonrisa	17	8.28	0.9697	--	583	4148	smile
jajajajajajajaj	18	8.28	1.0698	--	4833	--	jajajajajajajaj
jajajajajajajaja	19	8.28	1.1787	--	1163	--	jajajajajajajaja
enamorarse	20	8.28	1.0309	--	4644	--	fall in love
jajajajajajajajajajaja	21	8.26	1.3822	--	3889	--	jajajajajajajajajajaja
jajajajaja	22	8.26	1.1920	--	173	--	hahaha
love	23	8.26	0.9858	1637	93	--	love
friends	24	8.26	0.9858	2301	1018	--	friends
sonríe	25	8.26	0.8992	--	5015	--	smiles
maravillosa	26	8.24	0.8704	--	4654	--	wonderful
besos	27	8.24	1.0797	2450	318	--	kisses
vacaciones	28	8.24	0.9806	1404	690	--	vacation
enamorarme	29	8.24	0.9806	--	3998	--	fall in love
Éxito	30	8.24	1.0214	--	4184	--	Success
enamorados	31	8.22	0.9322	--	5033	--	love
festejar	32	8.22	0.8640	--	3707	--	celebrate
felices	33	8.22	1.0359	--	879	--	happy
méxico	34	8.22	1.2002	145	956	143	Mexico
happy	35	8.22	1.0160	--	80	--	happy
alegría	36	8.22	1.0746	4147	1488	2242	joy
besotes	37	8.22	0.7365	--	4682	--	besotes
vida	38	8.22	1.0746	115	58	71	life
excelente	39	8.20	0.9689	1252	467	3065	excellent
happiness	40	8.20	1.1249	--	4642	--	happiness
hermosa	41	8.20	0.9258	3881	382	3006	beautiful
jajajjajaja	42	8.20	1.3997	--	3926	--	jajajjajaja
besote	43	8.20	1.2289	--	2477	--	besote
musica	44	8.20	1.0880	772	635	--	music
mamá	45	8.20	1.0690	5093	541	4903	mom
abrazote	46	8.18	0.9409	--	1797	--	HUG
enamorada	47	8.18	1.2070	--	1862	--	love
divertido	48	8.18	0.9190	--	1772	--	funny
enamorado	49	8.18	1.0631	--	1633	--	in love
felicitaciones	50	8.18	0.9190	--	2682	--	congratulations
placer	51	8.16	1.0759	3410	1477	2572	pleasure
buenisimo	52	8.16	0.7918	--	1869	--	buenisimo
feliiiz	53	8.16	1.5566	--	2536	--	feliiiz
vivir	54	8.16	1.2349	1192	454	920	live
amamos	55	8.16	1.0759	--	2442	--	love
congratulations	56	8.16	1.0568	--	2474	--	congratulations
música	57	8.16	0.9553	214	573	1050	music
amarte	58	8.16	1.1669	--	2632	--	love
libre	59	8.14	1.1250	352	1373	528	free
triunfo	60	8.14	1.1608	3659	4142	1519	triumph
risa	61	8.14	0.9691	5060	531	--	laughter
amo	62	8.14	1.1954	2039	76	3828	owner
jajajajjaja	63	8.14	1.1068	--	3127	--	jajajajjaja
abrazos	64	8.14	1.0692	--	790	--	Hugs
risas	65	8.14	0.9037	--	1940	--	laughter
¡¡feliz	66	8.14	1.5520	--	4546	--	Happy
madre	67	8.14	1.3250	882	261	538	mother
sonreír	68	8.12	0.9613	--	1722	--	smile
feliiz	69	8.12	1.3346	--	1116	--	feliiz
excelentes	70	8.12	1.0622	--	5113	--	excellent
navidad	71	8.12	1.2720	2049	581	--	Christmas
felizzzz	72	8.12	1.2395	--	4593	--	felizzzz
playa	73	8.12	1.0230	1203	466	4249	beach
alegre	74	8.10	1.0738	--	3152	3970	cheerful
prosperidad	75	8.10	0.9313	--	940	3885	prosperity
amooor	76	8.10	1.6194	--	4930	--	amooor
ajajajaja	77	8.10	1.4321	--	2986	--	ajajajaja
aman	78	8.08	1.0850	--	3278	--	love
bella	79	8.08	0.8999	3418	607	3355	beauty
hermosas	80	8.08	0.9655	--	1984	--	beautiful
jajajajajaj	81	8.08	1.2428	--	1414	--	jajajajajaj
#feliz	82	8.08	1.3377	--	5263	--	# Happy
feliz	83	8.08	1.1753	1730	19	2113	happy
alegrías	84	8.08	1.2752	--	3521	--	joys
maravilloso	85	8.06	1.0956	--	1774	--	wonderful
inteligente	86	8.06	1.0184	4537	1770	4529	intelligent
confianza	87	8.06	1.0577	2387	2112	1232	confidence
contento	88	8.04	1.0490	--	4412	--	happy
ríe	89	8.04	1.1599	--	2931	--	laughs
sabiduría	90	8.04	1.1421	--	--	3450	wisdom
amigos	91	8.04	1.1599	212	199	879	people
abrazar	92	8.04	0.8320	--	4070	--	embrace
preciosa	93	8.04	1.1773	--	1418	--	beautiful
riendo	94	8.04	0.9681	--	3504	--	laughing
mexico	95	8.04	1.2930	637	1197	--	mexico
jajajajajaa	96	8.02	1.5971	--	4908	--	jajajajajaa
enamoro	97	8.02	0.9998	--	2438	--	fall in love
sorpresa	98	8.02	1.1156	4613	2647	3385	surprise
hermosos	99	8.02	0.9366	--	2547	--	beautiful
regalo	100	8.02	0.8204	2168	694	--	gift
besarte	101	8.02	1.2370	--	4266	--	kiss
imaginación	102	8.02	0.9581	--	4861	2613	imagination
festejando	103	8.02	0.9366	--	3423	--	celebrating
besa	104	8.02	0.9998	--	2758	--	kisses
kisses	105	8.02	1.0398	--	4021	--	kisses
jajajajajaja	106	8.00	1.2778	--	361	--	hahahahahaha
corazón	107	8.00	0.9476	1215	298	759	heart
playita	108	8.00	1.1249	--	4331	--	playita
playas	109	8.00	1.0302	4203	5186	--	beaches
amoor	110	8.00	1.5518	--	2969	--	amoor
felizz	111	8.00	1.4569	--	1635	--	felizz
celebración	112	8.00	1.0302	3841	3794	3751	celebration
amo♥	113	8.00	1.7023	--	2232	--	love ♥
bellas	114	8.00	1.1066	4682	2979	3283	beautiful
guapa	115	8.00	0.9897	--	979	--	lovely
gratis	116	8.00	1.1066	109	1515	--	free
party	117	8.00	0.9897	5172	959	--	party
beautiful	118	7.98	1.0398	--	1383	--	beautiful
amistades	119	7.98	0.9145	--	4508	--	friends
jajajaa	120	7.98	1.1865	--	1754	--	jajajaa
amigo	121	7.98	1.1516	361	233	763	friend
abrazo	122	7.98	0.9792	3364	177	--	hug
hermoso	123	7.98	0.9366	4821	459	3624	beautiful
pelicula	124	7.98	1.0200	3101	750	--	movie
smile	125	7.98	1.2696	--	1796	--	smile
familia	126	7.98	1.1156	510	141	396	family
reír	127	7.96	1.2610	--	2132	--	laugh
amistad	128	7.96	1.1241	2403	887	1815	friendship
besar	129	7.96	1.3242	--	2267	--	kiss
libertad	130	7.96	1.3845	960	1877	263	freedom
abuela	131	7.96	1.0490	--	899	--	grandmother
christmas	132	7.96	1.3087	--	3022	--	christmas
beach	133	7.94	1.1141	4943	4561	--	beach
jajaja	134	7.94	1.0184	2872	45	--	lol
delicious	135	7.94	1.0382	763	--	--	delicious
gracias	136	7.94	1.0184	161	48	938	thanks
regalos	137	7.94	1.1323	2483	2519	--	gifts
enamoran	138	7.94	1.2191	--	4914	--	fast
jajajajajajaj	139	7.94	1.4057	--	2588	--	jajajajajajaj
gozar	140	7.94	0.9982	--	--	5228	enjoy
enamorar	141	7.94	1.0956	--	3478	--	love
jajajaja	142	7.92	1.0467	--	83	--	lol
besitos	143	7.92	0.9223	--	2077	--	kisses
celebrar	144	7.92	1.1036	--	1889	4060	celebrate
maravilla	145	7.92	1.2428	--	3477	--	wonder
paradise	146	7.92	1.2262	--	4422	--	paradise
bello	147	7.92	1.1400	4977	916	2294	beautiful
delicioso	148	7.92	0.9223	--	4431	--	delicious
besito	149	7.92	1.2095	--	2702	--	kiss
rie	150	7.92	1.3068	--	4482	--	rie
jajajajaa	151	7.92	1.6015	--	2762	--	jajajajaa
abuelita	152	7.92	1.2428	--	3039	--	granny
reir	153	7.92	1.3827	--	1665	--	laugh
enamore	154	7.92	1.0660	--	2743	--	fall in love
gratuito	155	7.90	1.0738	2063	--	--	free
amores	156	7.90	1.0738	--	1099	--	loves
mami	157	7.90	1.1112	--	901	--	Mommy
divertida	158	7.90	1.0546	--	4824	--	fun
fortuna	159	7.90	1.1112	--	--	1937	fortune
naturaleza	160	7.90	1.1650	1042	4269	341	nature
dreams	161	7.90	0.9313	--	1864	--	dreams
amado	162	7.90	1.1294	--	3468	4469	beloved
papá	163	7.90	1.3590	--	917	--	dad
inspiration	164	7.90	1.1294	--	4355	--	inspiration
espectacular	165	7.90	1.0926	4785	2344	--	spectacular
peliculas	166	7.90	1.1824	1545	1681	--	Movies
amiga	167	7.90	1.0351	2818	247	--	female friend
triunfos	168	7.88	1.0999	--	5144	--	triumphs
pizza	169	7.88	1.3346	--	1489	--	pizza
ganar	170	7.88	1.1183	1869	1248	3359	win
kiss	171	7.88	1.5070	--	1294	--	kiss
bonito	172	7.88	1.0230	3934	491	--	nice
creatividad	173	7.88	1.0029	4477	--	--	creativity
belleza	174	7.88	1.2229	890	1585	1835	beauty
postre	175	7.88	1.1891	--	4392	--	dessert
perfect	176	7.86	1.3852	--	2208	--	perfect
Éxitos	177	7.86	1.2456	--	3593	--	Successes
amooooo	178	7.86	1.8627	--	3217	--	amooooo
gracioso	179	7.86	1.1068	--	2500	--	funny
cine	180	7.86	1.0304	326	877	2448	cinema
sano	181	7.86	1.1608	--	3898	--	healthy
peace	182	7.86	1.3095	--	5057	--	peace
cariño	183	7.86	0.9899	--	982	4320	affection
película	184	7.86	1.1430	1255	760	4506	movie
felicitar	185	7.86	1.0882	--	4867	--	congratulate
oro	186	7.86	1.0304	1271	2638	606	gold
¡gracias	187	7.86	1.5254	--	5112	--	Thank you
abuelos	188	7.86	1.0692	--	3612	--	grandparents
fiesta	189	7.86	1.1430	1288	280	1882	party
