word,pos
3-d,Adjective
3-d,Noun
4-f,Noun
4-h'er,Noun
4-h,Adjective
a',Adjective
a-1,Noun
a-axis,Noun
a-bomb,Noun
a-frame,Noun
a-line,NA
a-ok,Adjective
a-pole,Noun
a/c,Noun
a/m,Noun
a/o,Noun
a/p,Noun
a/v,Noun
a1c,Noun
a1,Adjective
aaaa,Noun
aaal,Noun
aaas,Noun
aaa,Noun
aaberg,Noun
aachen,Noun
aaee,Noun
aae,Noun
aaf,Noun
aagr,Noun
aag,Noun
aalborg,Noun
aalesund,Noun
aalii,Noun
aalst,Noun
aalto,Noun
aam,Noun
aapss,Noun
aap,Noun
aarau,Noun
aara,Noun
aardvark,Noun
aardwolf,Noun
aardwolves,Plural
aaren,Noun
aargau,Noun
aarhus,Noun
aarika,Noun
aaron's-beard,Noun
aaronical,Adjective
aaronic,Adjective
aaronite,Noun
aaronitic,Adjective
aaronson,Noun
aaron,Noun
aar,Noun
aas,Noun
aatech,Noun
aaup,Noun
aauw,Noun
aau,Noun
aavtech,Noun
aa,Noun
abaca,Noun
abaciscus,Noun
abacist,Noun
aback,Adverb
abacli,Plural
abaco,Noun
abactinal,Adjective
abaculus,Noun
abacus,Noun
abac,Noun
abadan,Noun
abaddon,Noun
abad,Noun
abaft,Adverb
abaft,Preposition
abagael,Noun
abagail,Noun
abagtha,Noun
abailard,Noun
abaised,Adjective
abakan,Noun
abalone,Noun
abampere,Noun
abamp,Noun
abana,Noun
abandonable,Adjective
abandonedly,Adverb
abandoned,Adjective
abandonee,Noun
abandoner,Noun
abandonment,Noun
abandon,Verb (transitive)
abandon,Noun
abantes,Noun
abaptiston,Noun
abarbarea,Noun
abaris,Noun
abased,Adjective
abased,Verb (transitive)
abaser,Noun
abase,Verb (transitive)
abashedly,Adverb
abashedness,Noun
abashment,Noun
abash,Verb (transitive)
abasia,Noun
abasic,Adjective
abasing,Verb (transitive)
abas,Noun
abatable,Adjective
abatage,Noun
abated,Verb (usu participle)
abatement,Noun
abater,Noun
abate,Noun
abate,Verb (usu participle)
abate,Verb (transitive)
abate,Verb (intransitive)
abating,Verb (usu participle)
abatis,Noun
abatjours,Plural
abatjour,Noun
abator,Noun
abattage,Noun
abattoir,Noun
abaxial,Adjective
aba,Noun
abbacies,Plural
abbacy,Noun
abbai,Noun
abbasid,Noun
