word,sentiment,lexicon,score
abacus,trust,nrc,NA
abandon,fear,nrc,NA
abandon,negative,nrc,NA
abandon,sadness,nrc,NA
abandoned,anger,nrc,NA
abandoned,fear,nrc,NA
abandoned,negative,nrc,NA
abandoned,sadness,nrc,NA
abandonment,anger,nrc,NA
abandonment,fear,nrc,NA
abandonment,negative,nrc,NA
abandonment,sadness,nrc,NA
abandonment,surprise,nrc,NA
abba,positive,nrc,NA
abbot,trust,nrc,NA
abduction,fear,nrc,NA
abduction,negative,nrc,NA
abduction,sadness,nrc,NA
abduction,surprise,nrc,NA
aberrant,negative,nrc,NA
aberration,disgust,nrc,NA
aberration,negative,nrc,NA
abhor,anger,nrc,NA
abhor,disgust,nrc,NA
abhor,fear,nrc,NA
abhor,negative,nrc,NA
abhorrent,anger,nrc,NA
abhorrent,disgust,nrc,NA
abhorrent,fear,nrc,NA
abhorrent,negative,nrc,NA
ability,positive,nrc,NA
abject,disgust,nrc,NA
abject,negative,nrc,NA
abnormal,disgust,nrc,NA
abnormal,negative,nrc,NA
abolish,anger,nrc,NA
abolish,negative,nrc,NA
abolition,negative,nrc,NA
abominable,disgust,nrc,NA
abominable,fear,nrc,NA
abominable,negative,nrc,NA
abomination,anger,nrc,NA
abomination,disgust,nrc,NA
abomination,fear,nrc,NA
abomination,negative,nrc,NA
abort,negative,nrc,NA
abortion,disgust,nrc,NA
abortion,fear,nrc,NA
abortion,negative,nrc,NA
abortion,sadness,nrc,NA
abortive,negative,nrc,NA
abortive,sadness,nrc,NA
abovementioned,positive,nrc,NA
abrasion,negative,nrc,NA
abrogate,negative,nrc,NA
abrupt,surprise,nrc,NA
abscess,negative,nrc,NA
abscess,sadness,nrc,NA
absence,fear,nrc,NA
absence,negative,nrc,NA
absence,sadness,nrc,NA
absent,negative,nrc,NA
absent,sadness,nrc,NA
absentee,negative,nrc,NA
absentee,sadness,nrc,NA
absenteeism,negative,nrc,NA
absolute,positive,nrc,NA
absolution,joy,nrc,NA
absolution,positive,nrc,NA
absolution,trust,nrc,NA
absorbed,positive,nrc,NA
absurd,negative,nrc,NA
absurdity,negative,nrc,NA
abundance,anticipation,nrc,NA
abundance,disgust,nrc,NA
abundance,joy,nrc,NA
abundance,negative,nrc,NA
abundance,positive,nrc,NA
abundance,trust,nrc,NA
abundant,joy,nrc,NA
abundant,positive,nrc,NA
abuse,anger,nrc,NA
abuse,disgust,nrc,NA
abuse,fear,nrc,NA
abuse,negative,nrc,NA
abuse,sadness,nrc,NA
abysmal,negative,nrc,NA
abysmal,sadness,nrc,NA
abyss,fear,nrc,NA
abyss,negative,nrc,NA
abyss,sadness,nrc,NA
academic,positive,nrc,NA
academic,trust,nrc,NA
academy,positive,nrc,NA
accelerate,anticipation,nrc,NA
acceptable,positive,nrc,NA
acceptance,positive,nrc,NA
accessible,positive,nrc,NA
accident,fear,nrc,NA
accident,negative,nrc,NA
accident,sadness,nrc,NA
accident,surprise,nrc,NA
accidental,fear,nrc,NA
accidental,negative,nrc,NA
accidental,surprise,nrc,NA
accidentally,surprise,nrc,NA
accolade,anticipation,nrc,NA
accolade,joy,nrc,NA
accolade,positive,nrc,NA
accolade,surprise,nrc,NA
accolade,trust,nrc,NA
accommodation,positive,nrc,NA
accompaniment,anticipation,nrc,NA
accompaniment,joy,nrc,NA
accompaniment,positive,nrc,NA
accompaniment,trust,nrc,NA
accomplish,joy,nrc,NA
accomplish,positive,nrc,NA
accomplished,joy,nrc,NA
accomplished,positive,nrc,NA
accomplishment,positive,nrc,NA
accord,positive,nrc,NA
accord,trust,nrc,NA
account,trust,nrc,NA
accountability,positive,nrc,NA
accountability,trust,nrc,NA
accountable,positive,nrc,NA
accountable,trust,nrc,NA
accountant,trust,nrc,NA
accounts,trust,nrc,NA
accredited,positive,nrc,NA
accredited,trust,nrc,NA
accueil,positive,nrc,NA
accurate,positive,nrc,NA
accurate,trust,nrc,NA
accursed,anger,nrc,NA
accursed,fear,nrc,NA
accursed,negative,nrc,NA
accursed,sadness,nrc,NA
accusation,anger,nrc,NA
accusation,disgust,nrc,NA
accusation,negative,nrc,NA
accusative,negative,nrc,NA
accused,anger,nrc,NA
