word,lexicon
a,SMART
a's,SMART
able,SMART
about,SMART
above,SMART
according,SMART
accordingly,SMART
across,SMART
actually,SMART
after,SMART
afterwards,SMART
again,SMART
against,SMART
ain't,SMART
all,SMART
allow,SMART
allows,SMART
almost,SMART
alone,SMART
along,SMART
already,SMART
also,SMART
although,SMART
always,SMART
am,SMART
among,SMART
amongst,SMART
an,SMART
and,SMART
another,SMART
any,SMART
anybody,SMART
anyhow,SMART
anyone,SMART
anything,SMART
anyway,SMART
anyways,SMART
anywhere,SMART
apart,SMART
appear,SMART
appreciate,SMART
appropriate,SMART
are,SMART
aren't,SMART
around,SMART
as,SMART
aside,SMART
ask,SMART
asking,SMART
associated,SMART
at,SMART
available,SMART
away,SMART
awfully,SMART
b,SMART
be,SMART
became,SMART
because,SMART
become,SMART
becomes,SMART
becoming,SMART
been,SMART
before,SMART
beforehand,SMART
behind,SMART
being,SMART
believe,SMART
below,SMART
beside,SMART
besides,SMART
best,SMART
better,SMART
between,SMART
beyond,SMART
both,SMART
brief,SMART
but,SMART
by,SMART
c,SMART
c'mon,SMART
c's,SMART
came,SMART
can,SMART
can't,SMART
cannot,SMART
cant,SMART
cause,SMART
causes,SMART
certain,SMART
certainly,SMART
changes,SMART
clearly,SMART
co,SMART
com,SMART
come,SMART
comes,SMART
concerning,SMART
consequently,SMART
consider,SMART
considering,SMART
contain,SMART
containing,SMART
contains,SMART
corresponding,SMART
could,SMART
couldn't,SMART
course,SMART
currently,SMART
d,SMART
definitely,SMART
described,SMART
despite,SMART
did,SMART
didn't,SMART
different,SMART
do,SMART
does,SMART
doesn't,SMART
doing,SMART
don't,SMART
done,SMART
down,SMART
downwards,SMART
during,SMART
e,SMART
each,SMART
edu,SMART
eg,SMART
eight,SMART
either,SMART
else,SMART
elsewhere,SMART
enough,SMART
entirely,SMART
especially,SMART
et,SMART
etc,SMART
even,SMART
ever,SMART
every,SMART
everybody,SMART
everyone,SMART
everything,SMART
everywhere,SMART
ex,SMART
exactly,SMART
example,SMART
except,SMART
f,SMART
far,SMART
few,SMART
fifth,SMART
first,SMART
five,SMART
followed,SMART
following,SMART
follows,SMART
for,SMART
former,SMART
formerly,SMART
forth,SMART
four,SMART
from,SMART
further,SMART
furthermore,SMART
g,SMART
get,SMART
gets,SMART
getting,SMART
given,SMART
gives,SMART
go,SMART
goes,SMART
going,SMART
gone,SMART
got,SMART
gotten,SMART
greetings,SMART
h,SMART
had,SMART
hadn't,SMART
happens,SMART
hardly,SMART
has,SMART
hasn't,SMART
have,SMART
haven't,SMART
having,SMART
he,SMART
he's,SMART
hello,SMART
help,SMART
hence,SMART
her,SMART
here,SMART
here's,SMART
hereafter,SMART
hereby,SMART
herein,SMART
hereupon,SMART
hers,SMART
herself,SMART
hi,SMART
him,SMART
himself,SMART
his,SMART
hither,SMART
hopefully,SMART
how,SMART
howbeit,SMART
however,SMART
i,SMART
i'd,SMART
i'll,SMART
i'm,SMART
i've,SMART
ie,SMART
if,SMART
ignored,SMART
immediate,SMART
in,SMART
inasmuch,SMART
inc,SMART
indeed,SMART
indicate,SMART
indicated,SMART
indicates,SMART
inner,SMART
insofar,SMART
instead,SMART
into,SMART
inward,SMART
is,SMART
isn't,SMART
it,SMART
it'd,SMART
it'll,SMART
it's,SMART
its,SMART
itself,SMART
j,SMART
just,SMART
k,SMART
keep,SMART
keeps,SMART
kept,SMART
know,SMART
knows,SMART
known,SMART
l,SMART
last,SMART
lately,SMART
later,SMART
latter,SMART
latterly,SMART
least,SMART
less,SMART
lest,SMART
let,SMART
let's,SMART
like,SMART
liked,SMART
likely,SMART
little,SMART
look,SMART
looking,SMART
looks,SMART
ltd,SMART
m,SMART
mainly,SMART
many,SMART
may,SMART
maybe,SMART
me,SMART
mean,SMART
meanwhile,SMART
merely,SMART
might,SMART
more,SMART
moreover,SMART
most,SMART
mostly,SMART
much,SMART
must,SMART
my,SMART
myself,SMART
n,SMART
name,SMART
namely,SMART
nd,SMART
near,SMART
nearly,SMART
necessary,SMART
need,SMART
needs,SMART
neither,SMART
never,SMART
nevertheless,SMART
new,SMART
next,SMART
nine,SMART
no,SMART
nobody,SMART
non,SMART
none,SMART
noone,SMART
nor,SMART
normally,SMART
not,SMART
nothing,SMART
novel,SMART
now,SMART
nowhere,SMART
o,SMART
obviously,SMART
of,SMART
off,SMART
often,SMART
oh,SMART
ok,SMART
okay,SMART
old,SMART
on,SMART
once,SMART
one,SMART
ones,SMART
only,SMART
onto,SMART
or,SMART
other,SMART
others,SMART
otherwise,SMART
ought,SMART
our,SMART
ours,SMART
ourselves,SMART
out,SMART
outside,SMART
over,SMART
overall,SMART
own,SMART
p,SMART
particular,SMART
particularly,SMART
per,SMART
perhaps,SMART
placed,SMART
please,SMART
plus,SMART
possible,SMART
presumably,SMART
probably,SMART
provides,SMART
q,SMART
que,SMART
quite,SMART
qv,SMART
r,SMART
rather,SMART
rd,SMART
re,SMART
really,SMART
reasonably,SMART
regarding,SMART
regardless,SMART
regards,SMART
relatively,SMART
respectively,SMART
right,SMART
s,SMART
said,SMART
same,SMART
saw,SMART
say,SMART
saying,SMART
says,SMART
second,SMART
secondly,SMART
see,SMART
seeing,SMART
seem,SMART
seemed,SMART
seeming,SMART
seems,SMART
seen,SMART
self,SMART
selves,SMART
sensible,SMART
sent,SMART
serious,SMART
seriously,SMART
seven,SMART
several,SMART
shall,SMART
she,SMART
should,SMART
shouldn't,SMART
since,SMART
six,SMART
so,SMART
some,SMART
somebody,SMART
somehow,SMART
